global_mass,global_volume,global_width,global_length,global_surface_area,global_dead,global_division,cell_counts_AcrAB-TolC_RNA,cell_counts_AcrAB-TolC,cell_counts_porin,cell_counts_antibiotic,cell_AcrAB-TolC_RNA,cell_AcrAB-TolC,cell_porin,cell_antibiotic,environment_antibiotic,time
9010.284296596812,8.191167542360738,1.0,10.76265176581816,33.0264695572421,0.0,1.0,4932.0,4926148.0,4932836.0,992188.0,0.001,0.9986441167630985,1.0,0.20113963960599762,1.0,6601.0
9012.886944564254,8.193533585967504,1.0,10.765664306102863,33.03593373166917,0.0,1.0,4934.0,4927577.0,4934261.0,992536.0,0.001,0.9986454726463354,1.0,0.2011519943110178,1.0,6602.0
9015.490344314461,8.195900313013146,1.0,10.768677716568968,33.04540063985173,0.0,1.0,4935.0,4929007.0,4935686.0,992884.0,0.001,0.998646827173689,1.0,0.20116434664119762,1.0,6603.0
9018.094496064588,8.19826772369508,1.0,10.771691997467835,33.054870282579465,0.0,1.0,4937.0,4930438.0,4937112.0,993231.0,0.001,0.9986481803465154,1.0,0.20117669659711343,1.0,6604.0
9020.699400031852,8.200635818210774,1.0,10.774707149050888,33.06434266064225,0.0,1.0,4938.0,4931868.0,4938538.0,993579.0,0.001,0.9986495321661688,1.0,0.2011890441793414,1.0,6605.0
9023.305056433534,8.203004596757758,1.0,10.777723171569628,33.07381777483018,0.0,1.0,4939.0,4933300.0,4939964.0,993927.0,0.001,0.9986508826340026,1.0,0.20120138938845744,1.0,6606.0
9025.911465486975,8.205374059533614,1.0,10.780740065275626,33.08329562593361,0.0,1.0,4941.0,4934731.0,4941391.0,994275.0,0.001,0.9986522317513686,1.0,0.2012137322250373,1.0,6607.0
9028.518627409583,8.207744206735985,1.0,10.783757830420528,33.09277621474309,0.0,1.0,4942.0,4936163.0,4942819.0,994624.0,0.001,0.9986535795196173,1.0,0.2012260726896565,1.0,6608.0
9031.126542418826,8.210115038562568,1.0,10.78677646725605,33.102259542049424,0.0,1.0,4944.0,4937596.0,4944246.0,994972.0,0.001,0.9986549259400976,1.0,0.2012384107828904,1.0,6609.0
9033.735210732235,8.212486555211123,1.0,10.78979597603399,33.111745608643645,0.0,1.0,4945.0,4939029.0,4945675.0,995320.0,0.001,0.9986562710141575,1.0,0.20125074650531405,1.0,6610.0
